date,value,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
25/01/2020,4,3,1,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0,0,0
27/01/2020,1,1,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0,0,0
29/01/2020,4,0,2,2,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0,0,0
1/02/2020,1,0,1,0,0,0,0,0,0
2/02/2020,2,0,0,0,2,0,0,0,0
3/02/2020,0,0,0,0,0,0,0,0,0
4/02/2020,1,0,0,1,0,0,0,0,0
5/02/2020,1,0,0,1,0,0,0,0,0
6/02/2020,1,0,0,1,0,0,0,0,0
7/02/2020,0,0,0,0,0,0,0,0,0
8/02/2020,0,0,0,0,0,0,0,0,0
9/02/2020,0,0,0,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0,0,0,0
21/02/2020,4,0,0,2,1,1,0,0,0
22/02/2020,1,0,0,1,0,0,0,0,0
23/02/2020,0,0,0,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0,0,0,0
27/02/2020,3,0,3,0,0,0,0,0,0
28/02/2020,2,0,0,1,0,1,0,0,0
29/02/2020,0,0,0,0,0,0,0,0,0
1/03/2020,3,1,2,0,0,0,0,0,0
2/03/2020,4,4,0,0,0,0,0,0,0
3/03/2020,8,6,0,1,0,0,1,0,0
4/03/2020,11,7,1,1,2,0,0,0,0
5/03/2020,8,3,0,2,2,1,0,0,0
6/03/2020,4,3,0,1,0,0,0,0,0
7/03/2020,10,8,1,0,0,0,1,0,0
8/03/2020,7,4,1,1,0,1,0,0,0
9/03/2020,12,7,3,0,0,2,0,0,0
10/03/2020,20,14,3,3,0,0,0,0,0
11/03/2020,15,4,3,2,2,3,1,0,0
12/03/2020,30,13,6,7,3,0,0,0,1
13/03/2020,41,14,9,8,4,5,1,0,0
14/03/2020,51,20,13,11,3,3,1,0,0
15/03/2020,48,22,8,15,1,1,1,0,0
16/03/2020,79,37,14,7,9,10,1,0,1
17/03/2020,78,39,23,10,3,3,0,0,0
18/03/2020,113,57,27,16,5,4,3,0,1
19/03/2020,142,40,29,50,5,17,0,0,1
20/03/2020,138,46,28,40,8,12,0,2,2
21/03/2020,226,83,51,37,17,26,7,2,3
22/03/2020,280,97,67,38,33,30,5,0,10
23/03/2020,330,136,61,60,34,20,6,0,13
24/03/2020,370,149,56,78,36,35,8,1,7
25/03/2020,380,211,55,46,27,30,6,0,5
26/03/2020,379,190,54,50,38,26,5,7,9
27/03/2020,371,186,54,62,22,24,12,2,9
28/03/2020,460,212,111,70,30,23,4,1,9
29/03/2020,344,174,84,31,12,33,4,0,6
30/03/2020,266,127,52,33,6,44,3,0,1
31/03/2020,312,114,96,55,32,9,0,4,2
1/04/2020,306,150,51,40,30,28,2,0,5
2/04/2020,277,116,68,57,18,8,3,3,4
3/04/2020,226,91,49,39,11,22,6,4,4
4/04/2020,190,104,30,27,11,14,2,0,2
5/04/2020,143,87,20,9,2,17,4,1,3
6/04/2020,107,57,23,14,2,7,3,1,0
7/04/2020,119,49,33,13,4,10,9,0,1
8/04/2020,105,48,21,9,5,11,9,0,2
9/04/2020,85,39,16,10,1,14,4,0,1
10/04/2020,107,49,13,13,7,11,11,0,3
11/04/2020,97,44,24,9,1,8,11,0,0
12/04/2020,36,7,3,12,0,3,11,0,0
13/04/2020,44,9,13,7,2,6,6,0,1
14/04/2020,49,7,10,11,2,4,15,0,0
15/04/2020,38,16,8,5,0,5,4,0,0
16/04/2020,33,11,2,5,1,3,11,0,0
17/04/2020,47,29,1,6,1,6,4,0,0
18/04/2020,43,10,17,9,0,3,4,0,0
19/04/2020,45,21,9,5,0,1,9,0,0
20/04/2020,11,6,1,0,0,0,3,0,1
21/04/2020,23,6,7,6,2,1,1,0,0
22/04/2020,12,5,2,0,1,0,4,0,0
23/04/2020,8,5,1,2,0,0,0,0,0
24/04/2020,20,7,6,2,0,2,2,0,1
25/04/2020,20,12,3,2,0,1,1,0,1
26/04/2020,18,8,3,3,0,0,4,0,0
27/04/2020,8,2,1,3,0,0,2,0,0
28/04/2020,12,5,2,0,0,1,4,0,0
29/04/2020,17,11,3,1,0,1,1,0,0
30/04/2020,11,2,7,0,0,0,2,0,0
1/05/2020,12,9,3,0,0,0,0,0,0
2/05/2020,15,5,7,1,0,0,0,2,0
3/05/2020,18,4,13,1,0,0,0,0,0
4/05/2020,27,1,22,3,0,0,0,0,1
5/05/2020,27,3,17,5,0,0,2,0,0
6/05/2020,26,9,17,0,0,0,0,0,0
7/05/2020,22,3,14,2,1,0,2,0,0
8/05/2020,19,4,14,0,0,1,0,0,0
9/05/2020,16,5,11,0,0,0,0,0,0
10/05/2020,14,2,10,2,0,0,0,0,0
11/05/2020,8,1,7,0,0,0,0,0,0
12/05/2020,18,0,17,0,0,1,0,0,0
13/05/2020,13,6,7,0,0,0,0,0,0
14/05/2020,14,4,9,0,0,1,0,0,0
15/05/2020,31,8,21,1,0,0,1,0,0
16/05/2020,15,3,11,1,0,0,0,0,0
17/05/2020,8,1,7,0,0,0,0,0,0
18/05/2020,11,1,8,2,0,0,0,0,0
19/05/2020,9,2,7,0,0,0,0,0,0
20/05/2020,13,4,8,1,0,0,0,0,0
21/05/2020,6,2,4,0,0,0,0,0,0
22/05/2020,15,3,12,0,0,0,0,0,0
23/05/2020,14,3,10,1,0,0,0,0,0
24/05/2020,4,1,2,1,0,0,0,0,0
25/05/2020,9,3,2,0,0,4,0,0,0
26/05/2020,15,2,5,1,1,6,0,0,0
27/05/2020,11,2,8,1,0,0,0,0,0
28/05/2020,18,1,10,0,0,7,0,0,0
29/05/2020,17,2,7,0,0,8,0,0,0
30/05/2020,11,0,11,0,0,0,0,0,0
31/05/2020,12,3,6,0,0,3,0,0,0
1/06/2020,8,3,4,0,0,1,0,0,0
2/06/2020,17,6,10,1,0,0,0,0,0
3/06/2020,8,0,7,0,0,1,0,0,0
4/06/2020,10,2,8,0,0,0,0,0,0
5/06/2020,11,4,3,0,0,4,0,0,0
6/06/2020,2,0,0,1,0,1,0,0,0
7/06/2020,5,0,4,0,0,0,0,0,1
8/06/2020,5,3,2,0,0,0,0,0,0
9/06/2020,2,2,0,0,0,0,0,0,0
10/06/2020,7,3,4,0,0,0,0,0,0
11/06/2020,9,0,8,1,0,0,0,0,0
12/06/2020,9,3,4,1,0,1,0,0,0
13/06/2020,13,4,8,1,0,0,0,0,0
