Month,VIC,QLD,SA,WA,TAS,NT,ACT
Jan,1,0,0,0,0,0,0
Jan,0,0,0,0,0,0,0
Jan,0,0,0,0,0,0,0
Jan,0,0,0,0,0,0,0
Jan,2,2,0,0,0,0,0
Jan,0,0,0,0,0,0,0
Jan,0,0,0,0,0,0,0
Feb,1,0,0,0,0,0,0
Feb,0,0,2,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,1,0,0,0,0,0
Feb,0,1,0,0,0,0,0
Feb,0,1,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,2,1,1,0,0,0
Feb,0,1,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,0,0,0,0,0,0,0
Feb,3,0,0,0,0,0,0
Feb,0,1,0,1,0,0,0
Feb,0,0,0,0,0,0,0
Mar,2,0,0,0,0,0,0
Mar,0,0,0,0,0,0,0
Mar,0,1,0,0,1,0,0
Mar,1,1,2,0,0,0,0
Mar,0,2,2,1,0,0,0
Mar,0,1,0,0,0,0,0
Mar,1,0,0,0,1,0,0
Mar,1,1,0,1,0,0,0
Mar,3,0,0,2,0,0,0
Mar,3,3,0,0,0,0,0
Mar,3,2,2,3,1,0,0
Mar,6,7,3,0,0,0,1
Mar,9,8,4,5,1,0,0
Mar,13,11,3,3,1,0,0
Mar,8,15,1,1,1,0,0
Mar,14,7,9,10,1,0,1
Mar,23,10,3,3,0,0,0
Mar,27,16,5,4,3,0,1
Mar,29,50,5,17,0,0,1
Mar,28,40,8,12,0,2,2
Mar,51,37,17,26,7,2,3
Mar,67,38,33,30,5,0,10
Mar,61,60,34,20,6,0,13
Mar,56,78,36,35,8,1,7
Mar,55,46,27,30,6,0,5
